iter	Passed	Remaining
810	9275	2161
811	9282	2149
812	9288	2136
813	9295	2123
814	9301	2111
815	9308	2099
816	9315	2086
817	9323	2074
818	9329	2061
819	9335	2049
820	9342	2036
821	9348	2024
822	9355	2011
823	9362	1999
824	9368	1987
825	9375	1974
826	9382	1962
827	9388	1950
828	9394	1937
829	9400	1925
830	9406	1913
831	9413	1900
832	9419	1888
833	9424	1875
834	9431	1863
835	9437	1851
836	9443	1839
837	9449	1826
838	9455	1814
839	9461	1802
840	9467	1789
841	9473	1777
842	9479	1765
843	9485	1753
844	9491	1741
845	9497	1728
846	9504	1716
847	9511	1704
848	9517	1692
849	9523	1680
850	9529	1668
851	9535	1656
852	9541	1644
853	9547	1632
854	9554	1620
855	9560	1608
856	9566	1596
857	9572	1584
858	9578	1572
859	9585	1560
860	9591	1548
861	9597	1536
862	9604	1524
863	9610	1512
864	9617	1500
865	9623	1489
866	9629	1477
867	9636	1465
868	9642	1453
869	9649	1441
870	9655	1430
871	9662	1418
872	9668	1406
873	9674	1394
874	9680	1382
875	9687	1371
876	9693	1359
877	9699	1347
878	9705	1336
879	9712	1324
880	9719	1312
881	9726	1301
882	9733	1289
883	9740	1278
884	9746	1266
885	9753	1255
886	9760	1243
887	9768	1232
888	9776	1220
889	9783	1209
890	9791	1197
891	9799	1186
892	9806	1174
893	9814	1163
894	9821	1152
895	9829	1140
896	9838	1129
897	9846	1118
898	9853	1106
899	9860	1095
900	9868	1084
901	9875	1072
902	9882	1061
903	9890	1050
904	9897	1038
905	9904	1027
906	9912	1016
907	9920	1005
908	9929	994
909	9936	982
910	9943	971
911	9951	960
912	9958	948
913	9965	937
914	9973	926
915	9980	915
916	9987	904
917	9994	892
918	10002	881
919	10010	870
920	10017	859
921	10024	848
922	10031	836
923	10037	825
924	10044	814
925	10050	803
926	10057	791
927	10065	780
928	10071	769
929	10078	758
930	10084	747
931	10090	736
932	10096	725
933	10103	713
934	10109	702
935	10115	691
936	10122	680
937	10129	669
938	10135	658
939	10142	647
940	10149	636
941	10155	625
942	10161	614
943	10167	603
944	10174	592
945	10179	581
946	10186	570
947	10193	559
948	10199	548
949	10205	537
950	10212	526
951	10218	515
952	10225	504
953	10231	493
954	10238	482
955	10245	471
956	10252	460
957	10258	449
958	10264	438
959	10271	427
960	10276	417
961	10283	406
962	10289	395
963	10296	384
964	10302	373
965	10308	362
966	10314	352
967	10320	341
968	10326	330
969	10332	319
970	10338	308
971	10344	297
972	10350	287
973	10356	276
974	10362	265
975	10368	254
976	10374	244
977	10380	233
978	10387	222
979	10394	212
980	10400	201
981	10407	190
982	10414	180
983	10421	169
984	10428	158
985	10435	148
986	10442	137
987	10449	126
988	10456	116
989	10462	105
990	10469	95
991	10476	84
992	10483	73
993	10489	63
994	10496	52
995	10503	42
996	10509	31
997	10516	21
998	10522	10
999	10529	0
